275,348,496,654,691,718,760,872,1084,1134,1219,1263,1887,2113,2209,2212,2350,2460,2697,2698,2735,2752,2758,2758,2997,3014,3079,3145,3168,3276,3285,3434,3514,3539,3748,3783,3785,4190,4348,4355,4445,4552,5066,5115,5617,5750,5870,5880,5948,6372,6401,6775,6821,7050,7122,7152,7199,7338,7487,7619,7633,7668,7817,7827,7917,7989,8051,8089,8609,8825,8874,8985,9137,9371,9462,9473,9536,9716,9721,9862
20,117,300,346,481,544,567,618,690,820,1078,1096,1175,1295,1317,1318,1443,1851,1874,1908,2117,2348,2384,2448,2642,3287,3320,3407,3509,3737,3799,3971,4051,4173,4187,4244,4377,4434,4641,4800,4822,5008,5167,5526,5741,5820,5883,5925,5997,6058,6148,6463,6531,6583,6623,6717,6797,6918,7030,7068,7116,7175,7470,7575,7586,7621,7672,7981,8211,8341,8424,8724,8795,8978,9353,9377,9633,9827,9849,9983
47,196,309,346,378,521,1159,1259,1364,1388,1585,1663,1828,1839,2084,2179,2203,2260,2304,2475,2574,2669,2764,3035,3555,3637,3713,3815,3834,4283,4325,4592,4640,4656,4781,5036,5118,5315,5542,5733,5820,5856,6084,6192,6385,6438,6504,6907,6935,6955,6968,7344,7385,7466,7571,7623,7709,7909,8004,8267,8519,8551,8635,8983,9044,9075,9167,9213,9227,9230,9248,9328,9343,9451,9470,9515,9536,9607,9806,9973
66,101,107,131,146,192,449,575,602,710,715,715,784,955,1063,1094,1152,1343,1417,1478,1504,1735,2187,2363,2390,2948,3089,3114,3328,3496,3642,3785,3939,4113,4165,4217,4241,4319,4497,4545,4613,4781,4818,4882,4955,5043,5068,5182,5420,5448,5456,5937,5949,6104,6150,6185,6245,6451,6453,6550,6799,6964,6966,7006,7010,7206,7358,7387,7760,7777,7873,8001,8042,8044,8271,8282,8417,8434,9256,9371
101,110,140,253,345,496,577,706,977,1158,1175,1314,1399,1488,1651,1732,1790,1825,1896,2040,2200,2207,2210,2268,2291,2306,2446,2509,2512,2878,3096,3412,3433,3453,3620,3678,3982,4044,4160,4778,4883,4905,5041,5068,5152,5257,5436,5723,5933,6021,6172,6232,6282,6310,6403,6651,6772,7104,7312,7332,7333,7375,7377,7390,7505,7588,7682,7906,8024,8078,8109,8140,8321,8465,8688,8698,8791,9250,9480,9997
93,328,460,604,668,673,707,770,903,1044,1074,1404,1538,1576,1749,1787,1899,2493,2544,2581,2652,2669,2678,2679,2823,2874,2876,2984,3065,3214,3223,3290,3352,3359,3403,3421,3604,3883,4012,4164,4248,4307,4345,4361,4942,5160,5273,5397,5429,5438,5477,5507,5913,6332,6541,6587,6629,6755,6908,6941,6942,7039,7137,7659,7904,8327,8348,8438,8451,8576,8767,8836,9008,9125,9188,9219,9525,9560,9587,9925
110,116,158,163,314,714,767,931,1042,1117,1176,1232,1521,1716,1777,1906,2269,2330,2447,2509,2679,2980,2992,3061,3112,3128,3491,3653,3846,3927,3967,3982,3995,4295,4556,4602,4689,4757,5003,5026,5063,5093,5206,5247,5270,5411,5596,5782,5783,5919,5947,5952,6008,6014,6343,6659,6809,6947,7037,7129,7162,7474,7477,7688,7772,7776,8164,8539,8558,8779,8862,8933,8971,8994,9214,9244,9245,9260,9447,9868
239,287,510,520,732,903,1082,1322,1342,1406,1442,1508,1562,1581,1647,1737,1853,1906,2213,2499,2553,2621,2635,2776,2870,3212,3234,3329,3380,3556,3703,3840,3948,3988,4251,4336,4402,4738,4793,4835,4912,4930,4946,5053,5182,5186,5321,5322,5377,5442,5446,5721,5756,5998,6069,6297,6298,6351,6500,6618,6891,6900,7012,7687,7706,7847,7861,7997,8081,8281,8293,8585,8835,8955,8959,9101,9563,9564,9661,9993
55,101,108,109,320,411,543,669,715,872,1008,1228,1228,1294,1299,1306,1340,1651,1737,1779,1838,2000,2067,2093,2099,2123,2242,2297,2700,2805,3058,3075,3401,3463,3563,3571,3644,4048,4437,4447,4535,4992,5039,5048,5213,5495,5756,5815,5877,5891,5982,5991,5994,6118,6161,6453,6473,6872,6967,6979,7107,7372,7817,7874,8074,8282,8397,8541,8650,8824,8881,9084,9132,9189,9315,9326,9444,9459,9716,9943
58,346,369,499,970,970,1033,1151,1306,1325,1713,1909,1977,2118,2165,2170,2244,2399,2425,2492,2512,2621,2755,2766,3209,3327,3346,3513,3527,3693,3709,3728,3985,4030,4208,4304,4407,4427,4694,4785,4832,4908,5051,5060,5145,5169,5296,5366,5566,5811,5940,5995,6279,6336,6377,6605,6924,6983,7177,7203,7296,7409,7532,7565,7619,7629,7687,8303,8436,8540,8910,9144,9193,9224,9330,9737,9742,9802,9933,9939
